,open,high,low,close,adj_close,volume,dividend
2020-01-31,2.8,2.805,2.1,2.21,2.21,15050844,0.0
2020-02-28,2.22,2.52,1.83,2.02,2.02,17608492,0.0
2020-03-31,2.06,2.2,0.98,1.43,1.43,22306980,0.0
2020-04-30,1.41,2.43,1.31,2.26,2.26,16814449,0.0
2020-05-29,2.21,2.72,1.81,2.1,2.1,19004011,0.0
2020-06-30,2.05,2.19,1.51,1.66,1.66,17372527,0.0
2020-07-31,1.66,1.84,1.54,1.6,1.6,14108524,0.0
2020-08-31,1.61,2.38,1.61,2.17,2.17,15242238,0.0
2020-09-30,2.16,2.21,1.66,1.75,1.75,20151944,0.0
2020-10-30,1.75,2.45,1.71,2.2,2.2,15939682,0.0
2020-11-30,2.21,2.37,1.95,2.06,2.06,12834106,0.0
2020-12-31,2.09,2.145,1.67,1.71,1.71,23996965,0.0
2021-01-29,1.75,2.29,1.7,1.91,1.91,23065651,0.0
2021-02-26,1.99,2.84,1.96,2.6,2.6,25338501,0.0
2021-03-31,2.66,2.96,2.28,2.37,2.37,23627662,0.0
2021-04-30,2.62,3.575,2.54,3.26,3.26,24364160,0.0
2021-05-31,3.28,4.03,3.2,4.03,4.03,16129638,0.0
2021-06-30,4.06,5.07,4.0,5.06,5.06,29713117,0.0
2021-07-30,5.1,5.17,4.245,4.69,4.69,14497857,0.0
2021-08-31,4.66,5.29,4.14,5.25,5.25,14333525,0.0
2021-09-30,5.18,6.57,5.15,6.4,6.4,21689267,0.0
2021-10-29,6.4,7.055,5.935,7.01,7.01,19633098,0.0
2021-11-30,7.07,8.37,6.84,7.09,7.09,18232549,0.0
2021-12-31,7.22,7.44,6.0,7.41,7.41,29715616,0.0
2022-01-31,7.59,7.94,6.29,6.88,6.88,15686020,0.0
2022-02-28,6.85,7.42,5.98,7.41,7.41,24077449,0.0
2022-03-31,7.48,9.04,6.54,8.71,8.71,24595118,0.0
2022-04-29,8.69,11.34,8.68,10.73,10.73,27772415,0.0
2022-05-31,10.7,11.75,9.51,10.98,10.98,17377084,0.0
2022-06-30,11.13,12.0,7.535,8.0,8.0,22843201,0.0
2022-07-29,8.16,11.12,7.27,11.01,11.01,18299970,0.0
2022-08-31,10.85,12.18,10.25,11.22,11.22,18274529,0.0
2022-09-30,10.98,11.52,9.24,9.93,9.93,17248912,0.0
2022-10-31,10.21,10.97,9.45,10.3,10.3,11342396,0.0
2022-11-30,10.45,12.19,10.33,11.56,11.56,19200148,0.0
2022-12-30,11.64,11.92,9.1,9.47,9.47,22586394,0.0
2023-01-31,9.3,9.35,7.92,8.3,8.3,24253435,0.0
2023-02-28,8.25,8.69,7.79,7.98,7.98,18567451,0.0
2023-03-31,7.95,8.91,7.56,7.81,7.81,20960000,0.0
2023-04-28,8.08,8.14,7.2,7.62,7.62,12371200,0.0
2023-05-31,7.53,8.05,6.79,7.31,7.31,14255300,0.0
2023-06-30,7.29,8.75,7.13,8.65,8.65,16579100,0.0
2023-07-31,8.63,9.47,8.34,9.3,9.3,9407300,0.0
2023-08-31,9.25,9.78,8.84,9.63,9.63,11360700,0.0
2023-09-29,9.73,10.1,8.98,9.27,9.27,8810600,0.0
2023-10-31,9.32,10.31,8.85,10.07,10.07,8920300,0.0
2023-11-30,10.1,10.5,9.3,9.3,9.3,10053000,0.0
2023-12-29,9.39,9.39,8.02,8.53,8.53,10156800,0.0
2024-01-31,8.56,9.49,8.24,8.82,8.82,8475000,0.0
2024-02-29,8.9,10.19,8.45,10.04,10.04,6147400,0.0
2024-03-28,10.11,11.05,9.61,9.88,9.88,5344400,0.0
2024-04-30,9.89,11.14,9.7,10.74,10.74,7111400,0.0
2024-05-31,10.6,11.72,10.6,11.59,11.59,9509400,0.0
2024-06-28,11.66,11.73,9.92,10.38,10.38,17271500,0.0
2024-07-31,10.38,10.59,8.9,9.63,9.63,12199213,0.0
2024-08-30,9.65,10.13,8.8,9.72,9.72,7718600,0.0
2024-09-30,9.6,9.66,8.57,9.45,9.45,9010855,0.0
2024-10-31,9.32,9.97,8.69,8.71,8.71,10857310,0.0
2024-11-29,8.78,9.66,8.5,9.0,9.0,10810100,0.0
2024-12-31,8.99,9.91,8.27,9.86,9.86,7783600,0.0
2025-01-31,9.97,10.66,9.04,9.23,9.23,10570800,0.0
2025-02-25,9.12,10.08,8.99,9.36,9.36,5402039,0.0
