,open,high,low,close,adj_close,volume,dividend
2020-01-31,8.23,8.39,6.86,7.02,5.9369,46014700,0.05
2020-02-28,6.97,7.38,5.51,5.84,4.9787,56340600,0.05
2020-03-31,6.0,6.25,2.42,4.05,3.4711,99665500,0.02
2020-04-30,3.98,6.04,3.64,5.87,5.031,57201900,0.0
2020-05-29,5.76,6.12,4.88,5.55,4.7567,34034500,0.0
2020-06-30,5.5,6.1,4.36,4.56,3.9619,45943300,0.06
2020-07-31,4.63,5.9,4.54,5.69,4.9437,27439900,0.0
2020-08-31,5.75,6.94,5.75,6.58,5.7169,25890700,0.0
2020-09-30,6.52,6.7,5.75,5.95,5.2203,32578000,0.06
2020-10-30,5.94,7.2,5.66,6.56,5.7555,24615300,0.0
2020-11-30,6.6,6.99,5.85,6.44,5.6502,33726300,0.0
2020-12-31,6.52,6.52,5.68,6.0,5.3179,41320400,0.06
2021-01-29,6.07,7.4,5.88,5.91,5.2382,34356800,0.0
2021-02-26,6.13,8.37,5.98,7.62,6.7538,66901600,0.0
2021-03-31,7.79,8.67,7.16,7.72,6.8958,92514700,0.06
2021-04-30,7.81,8.11,7.26,7.73,6.9048,76733800,0.0
2021-05-31,7.79,9.48,7.65,9.29,8.2982,65157900,0.0
2021-06-30,9.5,10.74,9.14,10.55,9.4792,66598100,0.06
2021-07-30,10.74,10.75,8.79,9.44,8.4819,46670100,0.0
2021-08-31,9.21,9.29,7.51,9.01,8.0955,62955600,0.0
2021-09-30,9.0,11.95,8.91,11.87,10.7925,81545900,0.136
2021-10-29,11.88,12.67,11.22,11.87,10.7925,63734100,0.0
2021-11-30,11.95,13.34,10.97,11.21,10.1924,72239000,0.0
2021-12-31,11.44,12.04,10.2,11.5,10.5449,63956200,0.1
2022-01-31,11.75,14.94,11.66,14.89,13.6534,74643100,0.0
2022-02-28,14.9,15.8,14.16,15.67,14.3686,67898400,0.0
2022-03-31,16.0,17.5,14.05,16.74,15.4411,119473100,0.1
2022-04-29,16.56,19.27,16.29,17.81,16.4281,77212800,0.0
2022-05-31,17.5,19.88,15.27,19.05,17.5718,157011400,0.0
2022-06-30,19.35,22.88,14.55,16.23,15.0746,118893900,0.12
2022-07-29,16.58,18.23,13.65,17.96,16.6814,69418700,0.0
2022-08-31,17.5,19.09,16.26,18.13,16.8393,62302100,0.0
2022-09-30,17.72,19.5,15.45,16.59,15.5215,62824300,0.12
2022-10-31,17.29,19.42,17.06,19.18,17.9447,50796500,0.0
2022-11-30,19.45,20.49,17.89,19.98,18.6932,57097400,0.0
2022-12-30,20.09,20.24,17.19,18.25,17.2195,58746200,0.15
2023-01-31,18.05,18.07,15.13,15.46,14.587,75431200,0.0
2023-02-28,15.38,16.15,14.34,14.86,14.0209,57113300,0.0
2023-03-31,14.87,16.18,14.38,15.33,14.6105,97279400,0.15
2023-04-28,15.93,16.94,15.38,16.83,16.0401,58529800,0.0
2023-05-31,16.64,17.96,15.41,16.36,15.5921,47256100,0.0
2023-06-30,16.28,18.43,16.24,17.67,17.0044,52484200,0.17
2023-07-31,17.67,20.19,17.63,19.92,19.1697,50499900,0.0
2023-08-31,19.77,21.0,19.47,20.61,19.8337,42423700,0.0
2023-09-29,20.8,22.05,20.47,21.68,21.0282,43781500,0.17
2023-10-31,21.68,22.73,20.02,22.31,21.6393,57124400,0.0
2023-11-30,22.35,23.76,20.7,21.64,20.9894,47666000,0.0
2023-12-29,21.55,22.25,19.02,19.67,19.243,46326700,0.17
2024-01-31,19.85,22.46,19.45,20.88,20.4267,43080600,0.0
2024-02-29,20.95,23.56,19.58,23.13,22.6279,36324200,0.0
2024-03-28,23.34,24.31,22.64,24.15,23.7972,33077000,0.17
2024-04-30,24.15,26.17,23.97,24.93,24.5658,47098600,0.0
2024-05-31,24.76,26.07,24.2,25.79,25.4132,48531800,0.0
2024-06-28,25.75,25.8,23.45,24.41,24.2195,48041900,0.17
2024-07-31,24.68,25.42,22.78,23.89,23.7035,34924400,0.0
2024-08-30,24.0,26.45,22.21,24.94,24.7453,35610100,0.0
2024-09-30,24.6,24.78,21.44,22.86,22.86,54977700,0.17
2024-10-31,22.68,25.53,22.48,23.06,23.06,46120100,0.0
2024-11-29,23.28,27.4,22.5,25.81,25.81,40063500,0.0
2024-12-31,25.88,26.13,23.7,26.07,26.07,44063400,0.0
2025-01-31,26.4,28.15,24.69,24.89,24.89,43350200,0.0
2025-02-25,23.85,27.64,23.85,26.48,26.48,30489536,0.0
