,open,high,low,close,adj_close,volume,dividend
2020-08-31,62.5001,71.8001,60.2,66.3,38.4831,5616900,0.0
2020-09-30,65.9201,78.24,63.26,78.12,45.3439,3705900,0.0
2020-10-30,78.72,91.38,77.91,89.0201,51.6707,5731050,0.0
2020-11-30,89.0,106.58,88.5101,101.9,59.1467,16033650,0.0
2020-12-31,101.6201,102.29,60.23,74.26,64.6551,6496200,0.0
2021-01-29,74.64,80.3,67.28,71.69,62.4175,3785700,0.0
2021-02-26,71.71,74.1,56.34,58.93,51.576,7260100,0.3038
2021-03-31,59.62,59.9,50.74,58.87,51.5235,9329000,0.0
2021-04-30,59.05,62.2,50.76,50.95,44.5919,9852500,0.0
2021-05-31,51.09,53.21,45.26,51.15,45.0257,5375700,0.3038
2021-06-30,51.65,53.36,47.68,52.08,45.8444,9998500,0.0
2021-07-30,52.08,55.29,47.94,52.94,46.6014,3897600,0.0
2021-08-31,53.0,56.82,51.17,55.29,48.9383,2614400,0.3038
2021-09-30,55.36,57.05,48.75,49.2,43.5479,3245800,0.0
2021-10-29,49.54,52.63,46.88,51.26,45.3713,4429000,0.0
2021-11-30,51.57,52.95,46.09,47.5,42.3175,3474700,0.3038
2021-12-31,47.64,47.91,42.76,46.55,41.4711,5151100,0.0
2022-01-31,46.69,46.87,39.47,43.49,38.745,6016200,0.0
2022-02-28,43.52,47.5,40.79,47.5,42.6196,5447000,0.32
2022-03-31,47.51,55.55,46.75,54.6,48.9901,6770300,0.0
2022-04-29,54.6,55.49,45.8,46.13,41.3904,7247700,0.0
2022-05-31,45.93,48.59,43.8,45.56,41.5029,6009600,0.7247
2022-06-30,45.61,47.85,43.52,45.85,41.7671,4190400,0.0
2022-07-29,45.92,50.66,45.12,50.1,45.6386,4859600,0.0
2022-08-31,50.07,55.14,49.35,50.47,46.2642,3544600,0.32
2022-09-30,50.19,53.79,44.1,45.14,41.3783,3489200,0.0
2022-10-31,45.15,46.75,39.67,42.33,38.8025,5187800,0.0
2022-11-30,42.67,43.95,40.86,43.82,40.4696,5559000,0.32
2022-12-30,43.99,44.95,36.96,37.27,34.4204,5829700,0.0
2023-01-31,37.83,42.95,37.42,41.91,38.7056,4090900,0.0
2023-02-28,41.95,42.5,37.93,38.0,35.4064,7998100,0.3375
2023-03-31,37.93,47.31,37.9,47.26,44.0344,9146300,0.0
2023-04-28,47.09,47.16,43.81,45.27,42.1802,3505700,0.0
2023-05-31,45.21,48.79,43.46,45.56,42.8802,4053900,0.46
2023-06-30,45.62,47.82,40.37,41.79,39.332,4347900,0.0
2023-07-31,41.79,43.0,40.62,41.1,38.6826,3265600,0.0
2023-08-31,41.14,41.21,37.1,37.72,35.9168,4127400,0.46
2023-09-29,37.98,38.25,32.12,32.51,30.9559,4360600,0.0
2023-10-31,32.34,34.0,29.87,31.55,30.0418,6145300,0.0
2023-11-30,31.46,36.65,31.46,36.0,34.7191,5521100,0.46
2023-12-29,35.99,39.73,35.67,38.14,36.783,4624900,0.0
2024-01-31,38.16,41.27,37.21,37.56,36.2236,4040900,0.0
2024-02-29,37.5,37.96,31.9,32.22,31.4138,6608900,0.355
2024-03-28,32.19,34.53,31.52,33.24,32.4083,6995600,0.0
2024-04-30,33.3,33.73,29.54,31.98,31.1798,7878600,0.0
2024-05-31,32.03,44.75,32.01,42.97,42.2447,9727500,0.355
2024-06-28,42.92,44.18,38.51,38.76,38.1058,6670800,0.0
2024-07-31,38.19,42.68,37.94,38.81,38.155,5173300,0.0
2024-08-30,38.85,39.98,37.04,38.44,38.1422,6145800,0.355
2024-09-30,38.35,44.75,36.235,44.16,43.8179,6157100,0.0
2024-10-31,43.97,48.66,40.62,42.63,42.2997,5091500,0.0
2024-11-29,42.63,46.43,40.0,44.62,44.62,6419400,0.355
2024-12-31,44.58,45.37,39.43,39.78,39.78,5686600,0.0
2025-01-31,40.04,42.34,35.01,38.72,38.72,7737700,0.0
2025-02-25,38.0,41.91,37.12,40.64,40.64,7033442,0.0
