,open,high,low,close,adj_close,volume,dividend
2020-01-31,24.42,27.87,24.16,27.6,20.88,4910008,0.0
2020-02-28,27.59,32.04,27.2,28.65,22.0625,7328049,0.555
2020-03-31,28.98,31.55,17.91,25.0,19.2517,14034363,0.0
2020-04-30,24.3,29.08,23.52,26.95,20.9454,6306618,0.25
2020-05-29,26.46,30.3,26.33,28.65,22.4042,5316395,0.17
2020-06-30,28.61,31.44,26.75,30.9,24.1637,5955170,0.0
2020-07-31,30.99,36.48,30.81,34.94,27.3229,5981742,0.0
2020-08-31,35.08,35.66,32.5,33.5,26.5284,9381609,0.42
2020-09-30,33.5,38.7,32.235,38.49,30.48,10467806,0.0
2020-10-30,38.89,43.32,38.11,38.75,30.6859,8580876,0.0
2020-11-30,39.0,42.98,37.7,41.04,32.843,8877938,0.42
2020-12-31,41.79,47.82,37.99,47.24,37.8046,11946870,0.0
2021-01-29,47.19,56.7,47.19,50.17,40.1494,11991489,0.0
2021-02-26,50.6,51.25,40.475,44.28,35.7762,10103459,0.42
2021-03-31,45.0,45.8,36.06,39.52,31.9303,17466956,0.0
2021-04-30,40.0,44.12,39.23,39.4,31.8334,26674218,0.0
2021-05-31,39.53,40.17,33.92,37.13,30.3536,8570638,0.42
2021-06-30,37.22,40.02,36.65,37.75,30.8604,7544515,0.0
2021-07-30,38.02,40.075,36.8,39.27,32.103,6155619,0.0
2021-08-31,39.27,40.06,35.15,38.67,31.9586,4490930,0.42
2021-09-30,38.68,40.23,36.1,37.4,30.909,4844069,0.0
2021-10-29,37.4,39.13,34.92,38.3,31.6528,5839283,0.0
2021-11-30,38.3,40.37,35.72,36.26,30.3056,4499788,0.42
2021-12-31,36.35,37.1,32.94,34.68,28.985,5852385,0.0
2022-01-31,34.39,34.59,30.04,33.05,27.6227,8806115,0.0
2022-02-28,33.31,37.78,31.26,37.01,31.0801,4916225,0.17
2022-03-31,37.03,41.75,36.5,40.52,34.2591,8535762,0.25
2022-04-29,40.32,42.49,37.39,38.51,32.5597,8083646,0.0
2022-05-31,38.05,40.96,36.45,38.61,32.9985,5155350,0.42
2022-06-30,38.57,44.5,37.85,42.88,36.6479,7964809,0.0
2022-07-29,42.9,46.99,40.92,46.46,39.7076,6075637,0.0
2022-08-31,46.2,51.55,45.4,49.5,42.6716,6229275,0.42
2022-09-30,49.26,50.0,42.29,43.87,37.8183,6564209,0.0
2022-10-31,44.03,46.51,35.14,38.63,33.3011,6471845,0.0
2022-11-30,38.8,40.4,35.04,37.81,32.9668,7288660,0.42
2022-12-30,37.79,41.55,37.06,40.02,34.8937,7217685,0.0
2023-01-31,40.47,41.78,36.9,37.23,32.4611,6699666,0.0
2023-02-28,37.28,39.78,33.96,36.35,31.8468,5197333,0.17
2023-03-31,36.1,42.01,36.03,41.15,36.2909,4674182,0.25
2023-04-28,41.2,43.43,39.05,39.5,34.8357,5521895,0.0
2023-05-31,39.37,39.99,36.185,37.51,33.4468,4751968,0.42
2023-06-30,38.36,39.5,35.67,36.07,32.1628,4756846,0.0
2023-07-31,35.9,36.37,33.8,34.12,30.6426,7153816,0.25
2023-08-31,34.03,34.71,29.75,32.78,29.588,6305462,0.17
2023-09-29,32.84,33.58,28.96,29.18,26.3386,4804263,0.0
2023-10-31,29.09,29.52,25.4,25.81,23.5186,8618159,0.25
2023-11-30,25.96,31.02,25.87,30.83,28.2552,6138888,0.17
2023-12-29,30.74,34.55,30.59,33.68,30.8672,5055868,0.0
2024-01-31,33.6,33.86,31.26,32.43,29.7216,4331477,0.0
2024-02-29,32.3,33.38,28.49,29.83,27.5019,5810818,0.17
2024-03-28,30.5,30.69,26.75,28.62,26.8361,4509281,0.5
2024-04-30,28.59,29.03,26.25,27.63,26.3937,5375121,0.5
2024-05-31,27.62,35.26,27.31,34.59,33.204,7429717,0.17
2024-06-28,34.68,36.68,32.94,33.51,32.1672,5877307,0.0
2024-07-31,33.64,35.35,32.33,34.26,32.8872,5459619,0.0
2024-08-30,34.46,35.51,32.05,32.27,31.6038,4931976,0.17
2024-09-30,32.0,36.42,30.52,35.98,35.2372,5507140,0.0
2024-10-31,35.84,36.625,33.27,33.47,32.779,4945721,0.0
2024-11-29,33.3,34.08,29.21,30.14,30.14,6700762,0.67
2024-12-31,30.03,30.62,28.33,28.71,28.71,6302723,0.0
2025-01-31,28.9,29.59,24.4,25.84,25.84,7944463,0.0
2025-02-25,24.95,29.49,24.4,29.24,29.24,5380331,0.0
