,open,high,low,close,adj_close,volume,dividend
2020-01-31,1348.41,1500.58,1346.49,1432.78,71.3797,33629150,0.0
2020-02-28,1461.65,1530.74,1268.21,1339.25,66.7201,41565155,0.0
2020-03-31,1351.39,1408.19,1008.87,1161.95,57.8872,78534591,0.0
2020-04-30,1124.0,1360.15,1075.08,1346.7,67.0913,56214524,0.0
2020-05-29,1324.09,1445.11,1296.01,1433.52,71.4166,36255952,0.0
2020-06-30,1425.7,1475.79,1351.65,1418.05,70.6459,40715938,0.0
2020-07-31,1419.17,1587.05,1414.18,1487.95,74.1282,41090608,0.0
2020-08-31,1491.0,1652.79,1464.03,1629.53,81.1816,30731651,0.0
2020-09-30,1632.16,1726.1022,1402.15,1465.6,73.0148,41834280,0.0
2020-10-30,1483.6608,1681.315,1433.23,1616.11,80.513,42753029,0.0
2020-11-30,1623.54,1816.89,1612.108,1754.4,87.4025,31560329,0.0
2020-12-31,1766.655,1843.83,1694.0,1752.64,87.3148,30424255,0.0
2021-01-29,1760.0,1932.08,1696.1014,1827.36,91.0373,39569373,0.0
2021-02-26,1844.585,2145.14,1844.585,2021.91,100.7296,33609952,0.0
2021-03-31,2048.0,2113.74,1994.0,2062.52,102.7527,37837953,0.0
2021-04-30,2092.25,2431.38,2091.43,2353.5,117.2491,35119920,0.0
2021-05-28,2364.91,2389.05,2193.62,2356.85,117.416,30175239,0.0
2021-06-30,2374.44,2461.91,2329.52,2441.79,121.6476,27241174,0.0
2021-07-30,2434.5,2765.94,2430.63,2694.53,134.2389,30452492,0.0
2021-08-31,2702.34,2919.41,2666.39,2893.95,144.1738,23041294,0.0
2021-09-30,2900.0,2925.075,2671.12,2673.52,133.1922,29545719,0.0
2021-10-29,2688.95,2973.0,2621.0,2960.92,147.5102,36040000,0.0
2021-11-30,2960.92,3019.33,2832.03,2837.95,141.3839,30278875,0.0
2021-12-31,2880.0,2982.0,2786.42,2897.04,144.3277,30992881,0.0
2022-01-31,2901.1,2929.6978,2490.0,2706.07,134.8138,38092594,0.0
2022-02-28,2751.89,3030.9315,2499.065,2701.14,134.5682,46381207,0.0
2022-03-31,2697.57,2875.87,2505.5,2781.35,138.5642,36383218,0.0
2022-04-29,2790.0,2874.24,2254.7301,2282.19,113.6965,37720682,0.0
2022-05-31,2268.1,2457.09,2037.6936,2275.24,113.3503,42514648,0.0
2022-06-30,2297.1,2386.94,2100.92,2179.26,108.5686,38543689,0.0
2022-07-29,2158.66,2393.7,104.07,116.32,115.899,428144985,0.0
2022-08-31,115.3,122.43,107.8,108.22,107.8283,515791070,0.0
2022-09-30,108.28,111.62,95.56,95.65,95.3038,612908183,0.0
2022-10-31,96.76,104.82,91.8,94.51,94.1679,681653109,0.0
2022-11-30,95.45,101.04,83.34,100.99,100.6245,716537649,0.0
2022-12-30,101.02,102.25,85.94,88.23,87.9107,602717061,0.0
2023-01-31,89.585,100.32,84.86,98.84,98.4823,672897542,0.0
2023-02-28,98.71,108.18,88.575,90.06,89.734,952709694,0.0
2023-03-31,89.98,106.59,89.42,103.73,103.3546,860049034,0.0
2023-04-28,102.39,109.17,101.93,107.34,106.9515,603728992,0.0
2023-05-31,106.84,126.43,103.71,122.87,122.4253,820529683,0.0
2023-06-30,122.815,129.04,116.1,119.7,119.2668,656884438,0.0
2023-07-31,119.24,133.74,115.35,132.72,132.2396,707114432,0.0
2023-08-31,130.775,138.0,126.3824,136.17,135.6772,593521002,0.0
2023-09-29,137.455,139.16,127.22,130.86,130.3864,477625238,0.0
2023-10-31,131.21,141.22,120.2057,124.08,123.6309,680762930,0.0
2023-11-30,124.07,139.42,123.715,132.53,132.0503,535336827,0.0
2023-12-29,131.86,142.68,127.9,139.69,139.1844,619214883,0.0
2024-01-31,138.55,153.78,135.15,140.1,139.5929,580941276,0.0
2024-02-29,142.12,149.44,135.41,138.46,137.9589,647506998,0.0
2024-03-28,138.43,152.256,130.665,150.93,150.3837,671379553,0.0
2024-04-30,150.69,174.71,149.6,162.78,162.1908,657659985,0.0
2024-05-31,164.3,178.77,163.05,172.5,171.8757,542413794,0.0
2024-06-28,172.54,186.05,171.16,182.15,181.6981,461090319,0.2
2024-07-31,183.03,191.75,164.06,171.54,171.1145,526148198,0.0
2024-08-30,170.25,174.05,154.93,163.38,162.9747,550739537,0.0
2024-09-30,161.72,166.15,147.215,165.85,165.6611,532527762,0.2
2024-10-31,167.685,182.02,159.74,171.11,170.9151,569355454,0.0
2024-11-29,170.07,182.49,163.7,168.95,168.7575,529990651,0.0
2024-12-31,168.765,201.42,168.57,189.3,189.3,645620865,0.2
2025-01-31,190.65,205.48,187.36,204.02,204.02,500375385,0.0
2025-02-25,200.69,207.05,174.6939,175.42,175.42,505837774,0.0
