,open,high,low,close,adj_close,volume,dividend
2020-01-31,16.85,18.99,16.59,18.8,15.1983,6879200,0.0
2020-02-28,18.82,22.28,18.75,19.68,15.9097,11761100,0.0
2020-03-31,19.6,21.4,13.97,19.15,15.6292,18540000,0.18
2020-04-30,18.62,20.13,17.56,18.68,15.2456,9068100,0.0
2020-05-29,18.49,19.38,17.59,18.94,15.4578,6420700,0.0
2020-06-30,18.88,20.16,18.18,19.1,15.7428,8823800,0.18
2020-07-31,19.53,23.08,18.96,22.99,18.949,8172800,0.0
2020-08-31,23.04,23.42,22.06,22.52,18.5617,5888600,0.0
2020-09-30,22.52,24.19,21.59,24.06,19.984,8934400,0.18
2020-10-30,24.12,26.6,23.8,24.02,19.9508,9813600,0.0
2020-11-30,24.24,27.04,22.62,25.7,21.3462,10864200,0.0
2020-12-31,25.91,27.63,24.51,27.37,22.8843,10268000,0.18
2021-01-29,27.42,32.48,27.41,29.32,24.5147,14664900,0.0
2021-02-26,29.52,29.81,23.52,24.08,20.1335,13901100,0.0
2021-03-31,24.35,24.75,20.65,21.97,18.5206,22603700,0.18
2021-04-30,22.19,23.78,20.83,21.0,17.7029,34205900,0.0
2021-05-31,21.0,21.1,18.37,20.48,17.2645,12085700,0.0
2021-06-30,20.77,22.22,20.28,21.55,18.3189,8869100,0.18
2021-07-30,21.77,23.09,20.75,21.75,18.4889,10168800,0.0
2021-08-31,21.75,21.81,19.13,20.11,17.0948,12088300,0.0
2021-09-30,20.0,21.8,19.65,20.3,17.4105,11513300,0.18
2021-10-29,20.31,22.03,19.0,20.6,17.6678,11265600,0.0
2021-11-30,20.58,21.65,18.6,18.96,16.2613,9873600,0.0
2021-12-31,18.85,19.38,17.57,18.6,16.1094,9081500,0.18
2022-01-31,18.7,18.92,16.91,18.65,16.1527,10742300,0.0
2022-02-28,18.66,19.03,16.57,18.43,15.9622,13995100,0.0
2022-03-31,18.37,20.15,18.14,19.88,17.3768,11015500,0.18
2022-04-29,19.85,20.23,17.06,17.2,15.0342,10545600,0.0
2022-05-31,17.15,17.91,15.89,17.06,14.9119,7222100,0.0
2022-06-30,17.11,18.37,16.79,17.3,15.2762,8986000,0.18
2022-07-29,17.33,19.42,17.3,19.24,16.9893,7115900,0.0
2022-08-31,19.23,20.16,18.6,19.85,17.5279,7051400,0.0
2022-09-30,19.87,20.45,17.12,17.39,15.5107,7791100,0.18
2022-10-31,17.45,18.39,14.23,15.0,13.379,12430500,0.0
2022-11-30,15.13,16.9,14.62,16.84,15.0201,9895500,0.0
2022-12-30,16.92,18.05,15.89,16.2,14.6121,6060500,0.18
2023-01-31,16.39,16.68,15.53,15.82,14.2693,9852800,0.0
2023-02-28,15.87,16.25,13.53,14.54,13.1148,9234200,0.0
2023-03-31,14.54,15.2,14.15,14.68,13.407,10082800,0.18
2023-04-28,14.68,15.23,13.55,13.9,12.6947,8636400,0.0
2023-05-31,13.88,14.19,12.63,14.06,12.8408,7677100,0.0
2023-06-30,14.09,14.4,12.08,12.34,11.4346,7749600,0.18
2023-07-31,12.36,13.44,12.35,12.95,11.9998,10011200,0.0
2023-08-31,12.89,13.34,11.85,12.89,11.9442,6868200,0.0
2023-09-29,12.96,12.99,10.06,10.17,9.5815,8941200,0.18
2023-10-31,10.18,10.46,8.51,8.54,8.0458,12023700,0.0
2023-11-30,8.54,9.96,8.54,9.61,9.0539,10681700,0.0
2023-12-29,9.63,9.75,8.55,9.19,8.8294,18172800,0.18
2024-01-31,9.14,9.54,8.61,9.18,8.8198,19794200,0.0
2024-02-29,9.19,9.49,7.05,8.45,8.1185,20085900,0.0
2024-03-28,8.49,8.74,7.67,7.99,7.7656,12646400,0.09
2024-04-30,7.97,8.37,7.68,8.03,7.8044,12342400,0.0
2024-05-31,8.04,9.9,7.99,9.76,9.4858,15316900,0.0
2024-06-28,9.71,10.96,9.71,10.23,10.0293,12885100,0.09
2024-07-31,10.19,10.85,9.29,9.49,9.3038,14028800,0.0
2024-08-30,9.54,9.85,9.01,9.1,8.9214,9128300,0.0
2024-09-30,9.07,10.68,8.79,10.47,10.3529,11007300,0.09
2024-10-31,10.44,10.72,9.01,9.12,9.018,10267700,0.0
2024-11-29,9.15,9.2,8.25,8.73,8.6324,10274200,0.0
2024-12-31,8.84,9.19,7.92,8.05,8.05,11110300,0.09
2025-01-31,8.12,8.32,7.05,7.28,7.28,13868200,0.0
2025-02-25,7.02,13.525,6.98,13.48,13.48,21305461,0.0
