,open,high,low,close,adj_close,volume,dividend
2020-01-31,5.8,5.96,4.67,4.71,4.71,700500,0.0
2020-02-28,4.75,5.42,4.35,4.43,4.43,614200,0.0
2020-03-31,4.35,4.56,1.42,1.6,1.6,1400800,0.0
2020-04-30,1.55,2.68,1.53,2.17,2.17,1331900,0.0
2020-05-29,2.2,2.37,1.83,2.06,2.06,1701500,0.0
2020-06-30,2.26,3.22,2.25,2.45,2.45,566500,0.0
2020-07-31,2.68,2.9,2.45,2.58,2.58,161300,0.0
2020-08-31,2.75,2.99,2.63,2.71,2.71,194300,0.0
2020-09-30,2.7,2.72,2.29,2.46,2.46,640200,0.0
2020-10-30,2.38,2.47,1.94,2.08,2.08,198700,0.0
2020-11-30,2.09,2.96,2.05,2.68,2.68,568600,0.0
2020-12-31,2.74,3.04,2.67,2.81,2.81,1061000,0.0
2021-01-29,3.03,3.67,2.96,3.05,3.05,956600,0.0
2021-02-26,3.17,4.44,3.07,4.01,4.01,2160200,0.0
2021-03-31,3.95,4.5,3.95,4.15,4.15,1123500,0.0
2021-04-30,4.16,4.55,3.71,4.32,4.32,478400,0.0
2021-05-31,4.4,5.25,4.34,5.18,5.18,2296900,0.0
2021-06-30,5.3,5.99,5.16,5.75,5.75,1065500,0.0
2021-07-30,5.83,6.26,5.32,6.05,6.05,891000,0.0
2021-08-31,6.08,6.18,4.98,5.51,5.51,318400,0.0
2021-09-30,5.5,6.81,5.45,6.45,6.45,1990600,0.0
2021-10-29,6.61,7.6,6.57,6.99,6.99,1051800,0.0
2021-11-30,7.16,7.44,6.13,6.32,6.32,1010800,0.0
2021-12-31,6.55,7.3,6.47,7.07,7.07,1018700,0.0
2022-01-31,7.32,8.69,7.32,8.3,8.3,1174700,0.0
2022-02-28,8.3,9.32,8.23,9.09,9.09,1879900,0.0
2022-03-31,9.26,12.15,9.14,11.93,11.93,2672400,0.0
2022-04-29,11.89,13.35,11.68,12.29,12.29,1356900,0.0
2022-05-31,12.19,14.0,11.56,13.49,13.49,2065800,0.0
2022-06-30,13.55,14.06,12.27,12.29,12.29,5926000,0.0
2022-07-29,12.57,15.78,10.93,15.65,15.65,3538600,0.0
2022-08-31,15.85,16.07,12.73,12.93,12.93,3215300,0.0
2022-09-30,12.66,12.94,10.01,10.89,10.89,2141300,0.0
2022-10-31,11.66,13.7,11.505,13.59,13.59,1796900,0.0
2022-11-30,14.15,16.18,13.92,15.37,15.37,2729500,0.0
2022-12-30,15.66,16.06,14.33,15.4,15.4,2150300,0.0
2023-01-31,15.02,15.2,13.11,14.35,14.35,3272900,0.0
2023-02-28,14.34,14.34,11.92,13.77,13.77,5776700,0.0
2023-03-31,13.53,14.91,12.29,12.98,12.98,8489500,0.0
2023-04-28,13.89,14.32,12.81,13.23,13.23,1945900,0.0
2023-05-31,13.01,13.48,10.93,11.42,11.42,2350600,0.0
2023-06-30,11.3,12.22,10.1,10.85,10.85,1339400,0.0
2023-07-31,11.03,12.44,10.87,12.34,12.34,1631000,0.0
2023-08-31,12.27,12.96,11.54,12.67,12.67,2171300,0.0
2023-09-29,12.98,13.43,12.44,12.93,12.93,1463200,0.0
2023-10-31,13.11,14.68,11.75,14.49,14.49,1929900,0.0
2023-11-30,14.5,16.55,13.23,16.5,16.5,2624300,0.0
2023-12-29,15.1,16.88,13.82,15.77,15.77,1958800,0.0
2024-01-31,15.8,16.01,14.37,14.86,14.86,817500,0.0
2024-02-29,15.07,15.65,13.36,14.29,14.29,1779825,0.0
2024-03-28,14.54,16.24,14.49,16.05,16.05,975000,0.0
2024-04-30,15.99,18.17,15.98,17.02,17.02,1478800,0.0
2024-05-31,16.86,19.19,16.85,18.21,18.21,1834900,0.0
2024-06-28,19.07,19.13,17.07,18.1,18.1,1478900,0.0
2024-07-31,19.05,20.59,18.85,19.92,19.92,1153400,0.0
2024-08-30,20.17,20.45,17.91,20.45,20.45,1138500,0.0
2024-09-30,19.0,19.09,15.3,15.97,15.97,1429400,0.0
2024-10-31,15.87,18.17,15.61,15.84,15.84,1908535,0.0
2024-11-29,16.25,16.25,14.42,15.87,15.87,1913100,0.0
2024-12-31,15.82,16.85,15.04,16.81,16.81,1495100,0.0
2025-01-31,17.06,19.5,17.06,18.91,18.91,1650700,0.0
2025-02-24,18.77,21.17,18.44,20.94,20.94,1614629,0.0
