,open,high,low,close,adj_close,volume,dividend
2020-01-31,158.78,174.05,156.51,170.23,162.4895,555989763,0.0
2020-02-28,170.43,190.7,152.0,162.01,155.0644,887894931,0.51
2020-03-31,165.31,175.0,132.52,157.71,150.9487,1612954386,0.0
2020-04-30,153.0,180.4,150.36,179.21,171.527,984810925,0.0
2020-05-29,175.8,187.51,173.8,183.25,175.8756,688873081,0.51
2020-06-30,182.54,204.4,181.35,203.51,195.3203,765012029,0.0
2020-07-31,203.14,216.38,197.51,205.01,196.7599,769842002,0.0
2020-08-31,211.52,231.15,203.14,225.53,216.9805,692382980,0.51
2020-09-30,225.51,232.86,196.25,210.33,202.3567,768528897,0.0
2020-10-30,213.49,225.21,199.62,202.47,194.7947,631674298,0.0
2020-11-30,204.29,228.12,200.12,214.07,206.5014,573325190,0.56
2020-12-31,214.51,227.18,209.11,222.42,214.5561,593966967,0.0
2021-01-29,222.53,242.64,211.94,231.96,223.7589,647897096,0.0
2021-02-26,235.06,246.13,227.88,232.38,224.6781,489396912,0.56
2021-03-31,235.9,241.05,224.26,235.77,227.9557,724981506,0.0
2021-04-30,238.47,263.19,238.0501,252.18,243.8218,568698272,0.0
2021-05-28,253.4,254.35,238.07,249.68,241.9607,495089530,0.56
2021-06-30,251.23,271.65,243.0,270.9,262.5247,508388858,0.0
2021-07-30,269.61,290.15,269.6,284.91,276.1015,522303043,0.0
2021-08-31,286.36,305.84,283.74,301.88,293.1104,440360333,0.56
2021-09-30,302.865,305.32,281.62,281.92,273.7302,502931199,0.0
2021-10-29,282.1217,332.0,280.25,331.62,321.9864,516523658,0.0
2021-11-30,331.355,349.67,326.37,330.59,321.5732,507120518,0.62
2021-12-31,335.13,344.3,317.25,336.32,327.1469,625743806,0.0
2022-01-31,335.35,338.0,276.05,310.98,302.4981,946705316,0.0
2022-02-28,310.41,315.12,271.52,298.79,291.2422,697204843,0.62
2022-03-31,296.4,315.95,270.0,308.31,300.5217,732627846,0.0
2022-04-29,309.37,315.11,270.0,277.52,270.5095,622644983,0.0
2022-05-31,277.71,290.88,246.44,271.87,265.6489,742766114,0.62
2022-06-30,275.195,277.69,241.51,256.83,250.953,621501474,0.0
2022-07-29,256.39,282.0,245.94,280.74,274.3159,534986150,0.0
2022-08-31,277.82,294.18,260.66,261.47,256.0306,476959033,0.62
2022-09-30,258.87,267.45,232.73,232.9,228.0549,575416752,0.0
2022-10-31,235.41,251.04,219.13,232.13,227.301,671366804,0.0
2022-11-30,234.6,255.33,213.431,255.14,250.5351,615328220,0.68
2022-12-30,253.87,263.915,233.87,239.82,235.4916,591366468,0.0
2023-01-31,243.08,249.83,219.35,247.81,243.3374,666168068,0.0
2023-02-28,248.0,276.76,245.47,249.42,245.5367,615540778,0.68
2023-03-31,250.76,289.27,245.61,288.3,283.8114,747751976,0.0
2023-04-28,286.52,308.93,275.37,307.26,302.4762,551356990,0.0
2023-05-31,306.97,335.94,303.4,328.39,323.9773,600453246,0.68
2023-06-30,325.93,351.47,322.5,340.54,335.964,547748450,0.0
2023-07-31,339.19,366.78,327.0,335.92,331.4061,666956355,0.0
2023-08-31,335.19,338.54,311.5508,327.76,324.042,479669427,0.68
2023-09-29,331.31,340.86,309.45,315.75,312.1683,416768824,0.0
2023-10-31,316.28,346.2,311.215,338.11,334.2746,540963749,0.0
2023-11-30,339.79,384.3,339.65,378.91,375.3718,564165364,0.75
2023-12-29,376.76,378.16,362.9,376.04,372.5286,521914675,0.0
2024-01-31,373.86,415.32,366.5,397.58,393.8675,525975837,0.0
2024-02-29,401.83,420.82,397.22,413.64,410.528,444203455,0.75
2024-03-28,411.27,430.82,398.39,420.72,417.5548,425101681,0.0
2024-04-30,423.95,429.37,388.03,389.33,386.4009,440119511,0.0
2024-05-31,392.61,433.6,390.31,415.13,412.7372,413810421,0.75
2024-06-28,415.525,456.17,408.9234,446.95,444.3738,342370406,0.0
2024-07-31,448.66,468.35,412.21,418.35,415.9386,440446499,0.0
2024-08-30,420.785,427.46,385.58,417.14,415.4744,451919023,0.75
2024-09-30,417.91,441.85,400.8,430.3,428.5819,376719438,0.0
2024-10-31,428.45,438.5,406.3,406.35,404.7275,440766715,0.0
2024-11-29,409.01,429.325,405.5713,423.46,422.6171,442321341,0.83
2024-12-31,421.57,456.1648,420.66,421.5,420.661,439908245,0.0
2025-01-31,425.53,448.38,410.72,415.06,414.2338,462562599,0.0
2025-02-24,411.6,419.31,399.32,404.0,404.0,329488903,0.83
