,open,high,low,close,adj_close,volume,dividend
2020-01-31,27.25,30.07,26.73,29.79,22.0544,14152354,0.1535
2020-02-28,29.78,33.16,28.47,29.84,22.1994,17329710,0.1535
2020-03-31,29.91,32.95,20.52,28.09,21.0155,29866944,0.1535
2020-04-30,27.37,31.16,26.62,29.87,22.4622,16499877,0.1535
2020-05-29,29.3,31.89,29.15,31.84,24.0703,11489315,0.157
2020-06-30,31.71,34.37,31.09,33.98,25.8134,12089122,0.157
2020-07-31,33.75,36.82,33.75,36.7,28.0036,9676384,0.157
2020-08-31,36.89,37.91,36.03,36.53,27.992,8369181,0.157
2020-09-30,36.49,40.8,35.34,40.28,30.9934,14491736,0.157
2020-10-30,40.46,45.06,40.25,43.09,33.2804,12521776,0.1595
2020-11-30,43.09,47.62,40.66,44.51,34.5031,32069280,0.1595
2020-12-31,47.0,47.0,42.12,45.67,35.5285,20032180,0.1595
2021-01-29,45.86,50.98,44.95,46.85,36.5692,13905470,0.1595
2021-02-26,47.26,51.45,41.57,42.25,33.095,15879787,0.1595
2021-03-31,43.12,45.76,41.31,45.55,35.8082,18990024,0.1595
2021-04-30,45.89,47.32,42.22,42.34,33.4046,31665849,0.1595
2021-05-31,42.49,42.67,37.25,40.59,32.1521,17482706,0.1595
2021-06-30,40.95,42.64,40.05,42.29,33.6272,12322432,0.1595
2021-07-30,42.37,43.88,42.07,43.78,34.9407,9035676,0.1595
2021-08-31,43.99,44.11,38.56,41.74,33.4394,12004399,0.1595
2021-09-30,41.7,43.57,39.71,39.8,32.0094,13565163,0.1595
2021-10-29,39.8,41.62,38.16,39.79,32.1288,14677751,0.1595
2021-11-30,39.8,40.79,37.84,38.24,31.0046,12665514,0.1595
2021-12-31,38.01,38.86,36.07,37.95,30.9004,9296946,0.1595
2022-01-31,37.85,37.9,34.95,36.81,30.1077,12115855,0.1595
2022-02-28,36.82,40.39,34.98,40.3,33.1049,12418256,0.1595
2022-03-31,40.3,42.75,40.28,41.56,34.2733,16206607,0.1595
2022-04-29,41.21,42.49,38.54,38.77,32.101,16476207,0.1595
2022-05-31,38.53,39.83,37.25,38.36,31.8932,11904435,0.1595
2022-06-30,38.21,40.28,36.17,38.32,31.9929,14803040,0.1595
2022-07-29,38.18,42.71,38.01,41.98,35.1817,13731243,0.154
2022-08-31,41.88,47.13,41.42,44.96,37.8085,17305814,0.154
2022-09-30,45.07,45.56,39.88,40.45,34.1392,17712140,0.154
2022-10-31,40.75,43.18,36.59,39.64,33.5828,13494859,0.1465
2022-11-30,39.86,41.6,36.56,38.1,32.4008,17146984,0.1465
2022-12-30,38.25,40.4,36.88,37.13,31.6993,15216230,0.1465
2023-01-31,37.38,39.31,35.29,35.74,30.6282,16478965,0.1395
2023-02-28,35.75,36.0,32.6,33.15,28.5285,17928580,0.1395
2023-03-31,33.07,34.72,32.33,33.88,29.2785,15809996,0.1395
2023-04-28,33.84,34.845,33.13,33.26,28.8604,11690448,0.138
2023-05-31,33.26,33.32,27.2,29.78,25.9617,21796941,0.138
2023-06-30,29.78,30.0,26.75,27.63,24.2088,16447187,0.138
2023-07-31,27.59,27.69,25.39,25.51,22.4692,16007771,0.138
2023-08-31,25.5,26.19,21.03,25.55,22.6296,24427664,0.138
2023-09-29,25.6,25.92,21.77,22.12,19.7101,22179857,0.138
2023-10-31,22.03,22.8,19.36,19.49,17.4837,20695075,0.138
2023-11-30,19.66,22.69,19.6,22.06,19.9218,20645883,0.144
2023-12-29,22.01,24.46,21.1,24.07,21.8699,19676268,0.144
2024-01-31,24.06,25.29,23.38,24.74,22.6091,19765484,0.144
2024-02-29,24.86,25.36,22.76,23.0,21.15,19769621,0.144
2024-03-28,23.15,24.22,20.06,22.13,20.4909,24019329,0.152
2024-04-30,21.99,23.12,20.44,21.01,19.5947,21770812,0.152
2024-05-31,21.05,24.57,20.89,23.3,21.8755,20782130,0.152
2024-06-28,23.44,24.88,23.22,23.52,22.2441,17187702,0.1755
2024-07-31,23.66,24.735,22.89,23.09,21.9999,16581235,0.1755
2024-08-30,23.15,24.25,20.44,20.63,19.8125,45392642,0.1755
2024-09-30,20.82,23.78,20.01,23.33,22.5788,32120567,0.1755
2024-10-31,23.26,23.43,20.82,21.16,20.6495,20327916,0.1755
2024-11-29,21.12,21.59,19.09,20.31,19.9937,23095839,0.1755
2024-12-31,20.3,20.42,17.68,17.9,17.7926,24600509,0.1755
2025-01-31,18.07,19.505,16.52,17.01,17.01,25367429,0.1
2025-02-25,16.42,18.9,16.14,18.82,18.82,17455313,0.0
