,open,high,low,close,adj_close,volume,dividend
2020-01-31,0.89,1.26,0.88,0.91,0.91,2198982,0.0
2020-02-28,0.91,0.96,0.6,0.82,0.82,1382456,0.0
2020-03-31,0.73,0.75,0.215,0.23,0.23,3447719,0.0
2020-04-30,0.245,0.3,0.2,0.29,0.29,2701386,0.0
2020-05-29,0.315,0.77,0.27,0.45,0.45,3089983,0.0
2020-06-30,0.465,0.69,0.4,0.57,0.57,3327513,0.0
2020-07-31,0.58,0.9,0.51,0.58,0.58,2835678,0.0
2020-08-31,0.56,0.65,0.49,0.58,0.58,1584155,0.0
2020-09-30,0.59,0.64,0.475,0.485,0.485,829460,0.0
2020-10-30,0.475,0.51,0.36,0.41,0.41,456866,0.0
2020-11-30,0.4,0.59,0.39,0.56,0.56,979902,0.0
2020-12-31,0.56,0.94,0.54,0.87,0.87,2024303,0.0
2021-01-29,0.88,1.39,0.87,1.08,1.08,2376279,0.0
2021-02-26,1.03,1.88,1.03,1.76,1.76,2004539,0.0
2021-03-31,1.77,2.45,1.67,1.82,1.82,2946884,0.0
2021-04-30,1.88,1.99,1.46,1.7,1.7,1984570,0.0
2021-05-31,1.67,2.17,1.67,2.16,2.16,2680791,0.0
2021-06-30,2.21,4.51,2.17,4.24,4.24,11107185,0.0
2021-07-30,4.3,5.15,3.16,3.74,3.74,7931578,0.0
2021-08-31,3.67,3.96,2.8,3.36,3.36,4696624,0.0
2021-09-30,3.33,4.69,3.17,4.51,4.51,7502404,0.0
2021-10-29,4.51,5.06,4.51,4.8,4.8,5348276,0.0
2021-11-30,4.83,5.42,4.3,4.48,4.48,11598730,0.0
2021-12-31,4.62,5.32,3.98,5.21,5.21,6377176,0.0
2022-01-31,5.35,9.48,5.35,9.35,9.35,13431415,0.0
2022-02-28,9.5,11.09,8.56,10.79,10.79,11182965,0.0
2022-03-31,11.01,11.77,8.65,11.08,11.08,12852440,0.0
2022-04-29,11.06,12.38,9.52,10.56,10.56,9940710,0.0
2022-05-31,10.33,12.74,8.68,12.24,12.24,14131135,0.0
2022-06-30,12.17,15.67,9.45,9.94,9.94,12683612,0.0
2022-07-29,10.15,10.95,8.0,10.92,10.92,7645970,0.0
2022-08-31,11.23,13.36,9.76,11.82,11.82,9266884,0.0
2022-09-30,11.6,11.72,8.91,9.93,9.93,6272749,0.0
2022-10-31,10.45,12.48,10.225,12.39,12.39,4749365,0.0
2022-11-30,12.75,13.94,9.63,10.19,10.19,7019419,0.0
2022-12-30,10.11,10.43,8.54,8.98,8.98,8853594,0.0
2023-01-31,8.96,9.24,7.76,8.82,8.82,6774972,0.0
2023-02-28,8.78,10.17,7.88,9.64,9.64,7639014,0.0
2023-03-31,9.67,10.4,7.75,8.63,8.63,10403300,0.0
2023-04-28,9.08,9.55,8.5,8.81,8.81,4488000,0.0
2023-05-31,8.68,8.88,7.41,7.47,7.47,5104400,0.0
2023-06-30,7.52,8.56,7.05,7.75,7.75,5863000,0.0
2023-07-31,7.86,9.44,7.56,9.43,9.43,5033200,0.0
2023-08-31,9.37,9.67,8.55,9.56,9.56,4078200,0.0
2023-09-29,9.73,11.36,9.73,11.18,11.18,4859600,0.0
2023-10-31,11.27,12.08,10.04,11.79,11.79,5574000,0.0
2023-11-30,11.9,12.07,9.75,10.25,10.25,4359100,0.0
2023-12-29,10.27,10.5,8.88,8.99,8.99,3337000,0.0
2024-01-31,9.11,9.3,8.42,9.17,9.17,3078400,0.0
2024-02-29,9.24,9.78,8.58,9.62,9.62,2662961,0.0
2024-03-28,9.7,11.23,9.41,11.18,11.18,3059600,0.0
2024-04-30,11.21,12.37,10.92,11.81,11.81,3205800,0.0
2024-05-31,11.82,11.82,9.73,10.43,10.43,5276600,0.0
2024-06-28,10.49,10.55,9.47,10.24,10.24,3274100,0.0
2024-07-31,10.34,10.72,9.72,10.33,10.33,2614100,0.0
2024-08-30,10.24,10.24,8.44,9.26,9.26,3184700,0.0
2024-09-30,9.14,9.14,7.36,7.51,7.51,3671600,0.0
2024-10-31,7.5,8.74,7.41,7.9,7.9,5359435,0.0
2024-11-29,7.91,8.84,7.32,8.01,8.01,7079200,0.0
2024-12-31,8.0,8.36,7.02,8.36,8.36,4682100,0.0
2025-01-31,8.49,9.04,7.45,7.48,7.48,4667100,0.0
2025-02-25,7.46,8.77,7.16,7.41,7.41,5082934,0.0
