,open,high,low,close,adj_close,volume,dividend
2020-01-31,3.81,3.88,2.83,2.89,1.1106,29269000,0.0861
2020-02-28,2.89,2.99,2.09,2.2,0.8739,24217600,0.0869
2020-03-31,2.27,2.32,0.91,1.49,0.6345,49691200,0.0851
2020-04-30,1.4,3.0,1.37,2.81,1.2381,43426400,0.0632
2020-05-29,2.72,3.03,2.2,2.46,1.1133,18820500,0.0
2020-06-30,2.48,2.69,1.63,1.79,0.8415,17954600,0.0697
2020-07-31,1.81,2.14,1.76,1.99,0.9652,13324700,0.0617
2020-08-31,2.03,3.29,2.02,2.85,1.4096,22900000,0.0603
2020-09-30,2.8,2.99,2.46,2.49,1.2631,11782400,0.0694
2020-10-30,2.52,3.18,2.32,2.88,1.4956,14778700,0.0605
2020-11-30,2.9,3.18,2.67,2.85,1.5131,15807800,0.0611
2020-12-31,2.91,3.13,2.71,2.92,1.5886,13703900,0.0718
2021-01-29,2.94,4.14,2.92,3.53,1.9505,18620600,0.0635
2021-02-26,3.61,6.23,3.61,5.96,3.3315,22430400,0.0659
2021-03-31,6.04,6.57,5.07,5.33,3.0209,16402100,0.0774
2021-04-30,5.38,5.78,4.93,5.36,3.0767,8587400,0.0664
2021-05-31,5.41,6.26,5.25,5.75,3.3396,10913700,0.0
2021-06-30,5.85,8.94,5.67,8.35,4.9027,20345800,0.0754
2021-07-30,8.37,8.52,6.48,7.23,4.2853,11328600,0.0652
2021-08-31,7.11,7.51,5.88,6.7,4.0158,11990800,0.0668
2021-09-30,6.7,10.15,6.6,9.86,5.9589,21419700,0.0776
2021-10-29,9.8,10.43,8.52,9.76,5.9422,20036200,0.0692
2021-11-30,9.87,11.96,9.78,10.42,6.4138,21737300,0.1212
2021-12-31,10.6,10.68,8.44,9.45,5.8956,28723400,0.1232
2022-01-31,9.74,11.16,8.75,9.96,6.2948,19328700,0.1231
2022-02-28,9.94,10.97,9.51,10.94,6.9986,16037400,0.1224
2022-03-31,11.03,12.97,9.66,12.68,8.1979,22186100,0.1212
2022-04-29,12.65,15.09,12.31,13.09,8.5363,19124700,0.1206
2022-05-31,12.87,15.93,12.75,15.48,10.1764,17369300,0.05
2022-06-30,15.62,17.13,11.56,12.04,7.9853,19320300,0.1171
2022-07-29,12.39,14.41,10.46,14.4,9.6393,15670300,0.1162
2022-08-31,13.97,14.11,11.85,12.25,8.2761,19234000,0.1164
2022-09-30,11.96,12.37,9.71,11.02,7.5261,20644600,0.1172
2022-10-31,11.36,12.88,11.24,12.72,8.7733,15318400,0.1181
2022-11-30,12.82,15.29,12.14,15.0,10.4319,22327500,0.119
2022-12-30,15.0,15.1,12.86,13.87,9.7636,16671500,0.1638
2023-01-31,13.63,14.04,11.87,12.13,8.6545,25023700,0.1783
2023-02-28,12.09,12.37,10.93,11.86,8.5925,32142600,0.1791
2023-03-31,11.85,12.88,11.28,12.11,8.9047,42600200,0.1802
2023-04-28,12.36,13.06,11.87,12.34,9.2083,17876900,0.18
2023-05-31,12.2,12.45,10.87,10.95,8.2998,22287700,0.11
2023-06-30,10.97,11.54,10.38,10.96,8.4479,25458400,0.1813
2023-07-31,11.04,11.84,10.7,11.38,8.914,26781800,0.183
2023-08-31,11.31,12.7,11.16,12.55,9.9793,18560100,0.1852
2023-09-29,12.7,13.89,12.04,13.69,11.0391,22966900,0.187
2023-10-31,13.69,14.73,13.01,14.6,11.9418,17174600,0.203
2023-11-30,14.66,15.2,12.46,12.51,10.4071,18505800,0.2207
2023-12-29,12.47,12.66,11.09,12.04,10.2085,18213500,0.2306
2024-01-31,12.11,13.6,12.0,12.97,11.1636,16577100,0.1943
2024-02-29,13.04,14.54,12.41,14.09,12.2946,16392800,0.1906
2024-03-28,14.09,15.05,13.8,14.93,13.1964,17872000,0.187
2024-04-30,15.01,15.83,14.66,15.39,13.7649,16209100,0.1801
2024-05-31,15.22,15.99,14.74,15.29,13.84,22339800,0.11
2024-06-28,15.34,15.6,14.18,14.58,13.3637,18959100,0.1815
2024-07-31,14.7,15.09,14.1,14.76,13.7134,16904000,0.1956
2024-08-30,14.79,15.04,13.4,14.57,13.7091,19660300,0.1858
2024-09-30,14.41,15.47,13.56,15.4,14.6731,26046600,0.184
2024-10-31,15.32,16.32,14.95,15.18,14.6528,22611300,0.1996
2024-11-29,15.21,17.27,14.91,16.63,16.2396,19562700,0.1873
2024-12-31,16.64,17.21,15.34,17.14,16.9359,15398400,0.193
2025-01-31,17.25,17.57,15.68,15.69,15.69,18422500,0.1937
2025-02-25,14.58,16.87,14.57,16.21,16.21,11338702,0.0
