,open,high,low,close,adj_close,volume,dividend
2020-01-31,7.64,7.86,5.97,6.04,2.6077,10697106,0.0
2020-02-28,6.03,6.22,3.99,4.28,1.8478,8124782,0.0
2020-03-31,4.41,4.41,0.81,1.13,0.4879,18439448,0.0
2020-04-30,1.08,2.1,0.96,1.9,0.8203,12738409,0.0
2020-05-29,1.91,2.05,1.43,1.61,0.6951,8247292,0.0
2020-06-30,1.6,2.76,1.46,1.59,0.6865,16699213,0.0
2020-07-31,1.57,2.0,1.53,1.88,0.8117,8270800,0.0
2020-08-31,1.89,3.65,1.89,2.65,1.1441,11326985,0.0
2020-09-30,2.63,2.73,2.02,2.08,0.898,8892473,0.0
2020-10-30,2.07,2.69,1.96,2.24,0.9671,6771726,0.0
2020-11-30,2.25,4.1,2.2,3.81,1.6449,7217478,0.0
2020-12-31,3.83,5.18,3.83,5.0,2.1587,7353542,0.0
2021-01-29,5.1,6.69,4.95,6.42,2.7718,9684400,0.0
2021-02-26,6.5,11.84,6.48,10.8,4.6628,10581115,0.0
2021-03-31,10.81,11.91,10.155,10.17,4.3908,8598869,0.0
2021-04-30,10.2,11.76,9.32,11.44,4.9391,5316471,0.0
2021-05-31,11.51,14.76,11.32,14.51,6.2645,8162366,0.0
2021-06-30,14.88,17.2,12.91,17.16,7.4087,7296243,0.0
2021-07-30,17.25,17.5,14.96,16.15,6.9808,3999046,0.02
2021-08-31,15.61,16.19,11.97,13.53,5.8565,5157637,0.02
2021-09-30,13.44,19.4,13.37,18.78,8.1391,6444751,0.02
2021-10-29,18.79,20.85,18.43,20.69,8.9762,3908911,0.02
2021-11-30,20.95,25.315,20.37,21.45,9.3293,5893167,0.06
2021-12-31,21.8,25.19,19.46,24.59,10.725,15287038,0.06
2022-01-31,25.49,27.41,22.73,24.99,10.9246,11063293,0.06
2022-02-28,25.12,28.25,24.37,28.12,12.3206,8233990,0.06
2022-03-31,29.0,32.65,24.83,31.21,13.712,14560536,0.08
2022-04-29,31.21,33.19,26.8,31.06,13.6816,7016193,0.08
2022-05-31,30.51,38.99,29.32,37.78,16.6953,10927279,0.1
2022-06-30,37.75,40.73,27.99,30.74,13.6203,11731344,0.1
2022-07-29,31.49,32.59,24.01,31.81,14.1481,6268143,0.1
2022-08-31,31.24,31.97,25.71,29.94,13.3623,5294719,0.1
2022-09-30,29.26,30.33,22.16,24.4,10.9275,6759020,0.1
2022-10-31,25.4,29.35,25.4,28.86,12.9724,5658220,0.1
2022-11-30,30.54,33.14,28.65,30.02,13.5523,6586365,0.13
2022-12-30,30.25,30.59,25.3,28.64,12.9893,6482781,0.13
2023-01-31,28.35,31.95,25.05,30.76,14.4637,8550488,1.13
2023-02-28,30.62,31.72,28.42,29.8,14.0706,5932201,0.13
2023-03-31,29.87,31.53,26.59,29.6,14.0393,7231755,0.13
2023-04-28,31.19,33.47,30.45,32.08,15.2768,6173034,0.13
2023-05-31,31.49,32.13,28.06,28.49,13.6257,5765135,0.13
2023-06-30,28.49,30.5,27.96,28.8,13.8348,5256177,0.13
2023-07-31,28.67,31.53,27.71,31.17,15.0393,4545408,0.13
2023-08-31,31.13,33.05,30.29,31.3,15.162,4133648,0.13
2023-09-29,31.68,33.8,31.68,32.25,15.6844,3744059,0.13
2023-10-31,32.32,33.8,29.25,33.33,16.2804,5072337,0.13
2023-11-30,33.34,33.63,26.49,26.72,13.1121,5797080,0.13
2023-12-29,26.7,27.05,25.09,25.93,12.7881,3851356,0.13
2024-01-31,26.2,27.175,24.75,26.5,13.1355,4094141,0.13
2024-02-29,26.6,30.07,24.59,29.77,14.8302,4833648,0.13
2024-03-28,29.98,31.54,26.14,27.49,13.7613,6643245,0.13
2024-04-30,27.55,32.4,27.29,31.2,15.6863,6518690,0.13
2024-05-31,31.07,33.06,30.15,32.79,16.5629,4350317,0.15
2024-06-28,32.91,32.91,29.95,31.08,15.7748,4315051,0.15
2024-07-31,31.3,32.04,28.61,29.95,15.2736,4094339,0.15
2024-08-30,30.1,30.14,26.36,27.73,14.2162,4999665,0.15
2024-09-30,27.16,27.78,24.51,26.35,13.588,8004724,0.15
2024-10-31,26.2,28.67,25.92,26.86,13.926,10017166,0.15
2024-11-29,27.21,32.23,25.9,31.34,16.3266,13413565,0.15
2024-12-31,31.5,31.94,28.86,31.82,16.6585,10054618,0.15
2025-01-31,32.16,32.61,28.48,28.78,15.1416,12718720,0.15
2025-02-25,27.75,32.825,16.6,17.12,17.12,26125574,15.05
