,open,high,low,close,adj_close,volume,dividend
2020-01-31,42.95,45.16,42.07,42.22,38.0531,8286721,0.0
2020-02-28,42.13,43.81,39.28,39.7,35.9491,7794192,0.2
2020-03-31,39.85,41.87,25.92,34.18,30.9506,17595700,0.0
2020-04-30,33.8,44.18,33.33,43.09,39.0188,12390692,0.0
2020-05-29,42.54,44.56,39.67,43.27,39.3727,15575126,0.2
2020-06-30,43.4,44.03,38.8,40.85,37.1706,8771243,0.0
2020-07-31,40.81,46.38,40.02,46.28,42.1116,9541455,0.0
2020-08-31,46.51,64.17,46.39,58.45,53.3774,14409601,0.22
2020-09-30,58.37,60.47,55.26,59.25,54.108,9682827,0.0
2020-10-30,59.73,65.98,59.15,60.63,55.3682,7839251,0.0
2020-11-30,61.1,78.64,61.07,71.81,65.7954,13557765,0.22
2020-12-31,72.01,72.805,67.19,69.55,63.7247,8716480,0.0
2021-01-29,68.82,70.43,58.79,58.91,53.9758,14242903,0.0
2021-02-26,59.21,61.695,50.85,54.32,49.9626,18742803,0.22
2021-03-31,55.1,59.6,50.61,58.55,53.8533,16346011,0.0
2021-04-30,58.78,64.78,58.53,63.6,58.4982,10736993,0.0
2021-05-28,63.95,68.44,59.445,59.71,55.1171,11699351,0.22
2021-06-30,60.05,61.555,57.05,59.28,54.7201,10403655,0.0
2021-07-30,59.38,61.15,57.79,59.73,55.1355,4785939,0.0
2021-08-31,60.16,63.39,53.33,62.59,58.0084,14438668,0.25
2021-09-30,62.62,65.42,59.95,61.66,57.1465,8394031,0.0
2021-10-29,61.41,68.7717,60.97,68.35,63.3468,7336285,0.0
2021-11-30,68.36,76.175,67.17,67.88,63.1355,8220266,0.25
2021-12-31,68.59,71.65,59.552,61.21,56.9317,8983030,0.0
2022-01-31,61.15,64.59,57.1,60.96,56.6992,10083032,0.0
2022-02-28,60.84,63.02,48.65,52.38,48.926,13917286,0.25
2022-03-31,52.52,60.59,52.38,59.03,55.1375,8598721,0.0
2022-04-29,59.11,61.03,54.38,55.09,51.4573,6678942,0.0
2022-05-31,54.77,63.09,50.69,60.19,56.4572,10979731,0.25
2022-06-30,60.56,65.1,58.545,65.06,61.0252,9051562,0.0
2022-07-29,64.91,72.61,60.34,72.07,67.6005,11715372,0.0
2022-08-31,71.84,72.73,66.3,69.34,65.2876,9051064,0.27
2022-09-30,69.26,71.96,62.08,62.48,58.8285,8245257,0.0
2022-10-31,62.96,66.03,58.72,65.33,61.5119,6338714,0.0
2022-11-30,66.02,66.02,48.72,54.85,51.9003,39476912,0.27
2022-12-30,55.0,58.325,53.555,57.83,54.7201,25716732,0.0
2023-01-31,58.1,62.25,57.0,60.47,57.2181,38169414,0.0
2023-02-28,60.46,64.73,59.64,61.17,58.1265,32555258,0.27
2023-03-31,61.42,63.87,51.56,56.29,54.5747,120996139,1.08
2023-04-28,56.29,59.52,55.58,57.19,55.4473,27189748,0.0
2023-05-31,57.03,58.35,51.07,52.08,50.7484,36389405,0.27
2023-06-30,52.08,60.33,51.41,60.0,58.4659,48430503,0.0
2023-07-31,59.84,65.03,57.79,64.48,62.8314,17199417,0.0
2023-08-31,64.14,65.13,55.54,61.72,60.422,32698762,0.27
2023-09-29,61.75,66.99,61.35,62.5,61.1856,49663572,0.0
2023-10-31,62.29,67.77,61.145,65.4,64.0246,21646173,0.0
2023-11-30,65.38,68.25,58.85,63.68,62.6073,30481130,0.27
2023-12-29,63.61,67.19,62.25,66.89,65.7632,17759020,0.0
2024-01-31,66.38,67.08,60.84,63.97,62.8924,16348317,0.0
2024-02-29,64.15,77.99,63.13,75.91,74.9277,22552416,0.27
2024-03-28,75.88,77.63,74.25,76.17,75.1843,14945483,0.0
2024-04-30,76.24,76.8607,71.48,71.58,70.6537,12343288,0.0
2024-05-31,71.8,80.67,69.83,72.68,72.0022,17926705,0.27
2024-06-28,73.25,81.74,70.27,76.36,75.6478,62982831,0.0
2024-07-31,76.55,81.87,75.33,79.63,78.8873,18082815,0.0
2024-08-30,79.4,87.45,70.375,86.13,85.6172,16700535,0.29
2024-09-30,85.32,85.98,78.08,80.49,80.0108,14545855,0.0
2024-10-31,80.5,87.14,78.55,84.74,84.2355,19562015,0.0
2024-11-29,84.94,99.79,84.31,97.76,97.4665,17098972,0.29
2024-12-31,98.05,98.94,89.23,90.21,89.9392,16654883,0.0
2025-01-31,90.66,93.225,87.9256,89.48,89.2113,19085157,0.0
2025-02-25,87.52,106.9,86.68,101.35,101.35,19061714,0.29
