,open,high,low,close,adj_close,volume,dividend
2020-01-31,15.4,16.09,13.13,13.35,9.4196,29026200,0.0
2020-02-28,13.29,13.77,10.72,11.15,7.8673,26951700,0.0
2020-03-31,11.15,11.41,6.73,8.64,6.1798,66690400,0.12
2020-04-30,8.43,14.27,8.15,13.8,9.8705,46465200,0.0
2020-05-29,13.53,14.95,12.66,13.68,9.7847,27378700,0.0
2020-06-30,13.59,14.83,11.4,11.87,8.5745,48222200,0.12
2020-07-31,11.9,14.0,11.9,13.62,9.8386,19884100,0.0
2020-08-31,13.94,18.38,13.91,16.57,11.9696,29410400,0.0
2020-09-30,16.66,17.44,15.36,16.27,11.8437,23832500,0.12
2020-10-30,16.2,19.22,15.84,17.26,12.5644,30677700,0.0
2020-11-30,17.32,19.94,16.63,18.08,13.1613,36664200,0.0
2020-12-31,18.29,18.44,16.47,17.16,12.5902,33799300,0.14
2021-01-29,17.45,21.4,17.39,18.22,13.3679,29675100,0.0
2021-02-26,18.7,24.63,18.51,23.16,16.9924,28290400,0.0
2021-03-31,23.47,27.09,22.21,23.92,17.6645,37239500,0.16
2021-04-30,24.05,27.13,23.07,26.52,19.5846,21831700,0.0
2021-05-31,26.52,30.45,26.48,29.45,21.7483,24085700,0.0
2021-06-30,30.11,35.53,29.9,35.43,26.2909,33443800,0.16
2021-07-30,35.61,36.18,31.06,34.06,25.2743,25062900,0.0
2021-08-31,33.54,34.59,29.25,33.74,25.0369,28869300,0.0
2021-09-30,33.67,46.18,32.95,44.25,33.5517,48306800,0.92
2021-10-29,44.25,45.91,41.9,44.73,33.9156,38418900,0.0
2021-11-30,45.21,48.14,41.93,42.51,32.2323,66178700,0.0
2021-12-31,43.5,43.84,38.1,40.84,31.1041,38942800,0.18
2022-01-31,41.25,49.0,40.77,45.32,35.4966,38641400,1.25
2022-02-28,45.55,50.08,44.92,50.0,39.1622,31988500,0.0
2022-03-31,50.5,58.7,45.88,57.6,45.293,40685300,0.2
2022-04-29,57.59,66.75,57.02,66.16,52.0241,33870300,0.0
2022-05-31,64.91,80.66,64.77,78.08,62.7691,39412200,1.5
2022-06-30,78.51,80.0,61.25,66.93,53.9706,35044200,0.23
2022-07-29,68.08,80.67,59.4,80.23,64.6954,45478800,0.0
2022-08-31,78.86,81.31,71.08,77.65,64.3137,54133700,2.0
2022-09-30,76.22,84.33,66.62,71.79,59.6309,47569900,0.23
2022-10-31,73.9,79.45,73.75,76.76,63.7591,43142900,0.0
2022-11-30,77.79,84.1,74.06,81.87,69.9158,54738000,2.25
2022-12-30,82.25,82.34,67.25,68.32,58.541,34385900,0.25
2023-01-31,67.85,71.3,60.76,62.01,54.7296,68461600,2.0
2023-02-28,61.8,63.7,56.0,59.8,52.779,38235600,0.0
2023-03-31,59.69,62.59,52.34,56.32,49.9327,46867300,0.25
2023-04-28,58.13,62.06,55.05,60.87,53.9666,46100000,0.0
2023-05-31,60.37,61.56,55.12,56.75,51.621,112103100,1.5
2023-06-30,56.61,63.16,55.79,62.42,57.0254,36281900,0.26
2023-07-31,63.0,69.19,61.16,68.34,62.4338,51522000,0.0
2023-08-31,68.0,71.26,65.7,69.29,64.2183,80827900,1.0
2023-09-29,70.0,72.3,66.47,68.35,63.5846,37829500,0.26
2023-10-31,68.61,73.8,64.94,73.33,69.1667,52532300,1.0
2023-11-30,73.68,74.21,64.92,65.68,61.951,36084900,0.0
2023-12-29,65.53,66.13,57.73,59.59,56.4703,37508300,0.28
2024-01-31,59.86,62.74,56.07,58.13,55.0867,46021700,0.0
2024-02-29,58.09,62.24,53.45,61.42,58.2045,48555700,0.0
2024-03-28,61.99,64.22,59.04,63.33,60.8207,38200300,0.8
2024-04-30,63.5,69.2,62.44,67.28,64.6142,34922500,0.0
2024-05-31,66.81,69.25,64.1,67.61,65.4182,68207300,0.5
2024-06-28,67.52,68.68,60.18,62.05,60.3426,44349300,0.32
2024-07-31,62.72,63.33,58.52,60.75,59.0783,31656100,0.0
2024-08-30,60.5,63.75,55.27,61.42,60.2435,98511100,0.5
2024-09-30,60.74,63.13,56.96,62.81,61.9752,48448900,0.35
2024-10-31,62.42,67.4,61.55,64.19,63.3369,43916200,0.0
2024-11-29,64.65,68.43,61.74,66.08,65.7151,61609900,0.5
2024-12-31,66.1,67.5,60.21,66.52,66.52,34730900,0.35
2025-01-31,67.27,70.65,65.8,66.21,66.21,33313600,0.0
2025-02-25,65.0,70.83,64.76,67.54,67.54,25264957,0.0
